Solo Leveling T09,14.95,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2413076469,https://m.media-amazon.com/images/I/71EdAvJRp-L._SY522_.jpg,Kbooks; Illustrated édition (1 mars 2023),DUBU(REDICE STUDIO)
Blue Lock T19,7.99,"Le premier match de la Ligue des néo-individualistes opposant le Bastard München et le FC Barcha débute enfin. Contrairement à Isagi, qui a entamé la rencontre sur le banc des remplaçants, Bachira est titularisé et prouve qu’il a fait d’énormes progrès ! C’est également le cas de Kunigami qui affiche une totale métamorphose, à la suite de son retour inattendu. Quant à Kaiser, le “génie allemand”, il dévoile enfin son réel potentiel. Isagi obtiendra-t-il une chance de briller sur un champ de bataille régi par un système méritocratique où seules les données numériques comptent ?",978-2811687526,https://m.media-amazon.com/images/I/81B9PqlA+CL._SY522_.jpg,Pika; Illustrated édition (10 avril 2024),Muneyuki Kaneshiro
KAIJU N°8 T11,7.99,"Les cinq kaiju surpuissants créés par le n°9 prennent la division Est d’assaut. Program- més pour anéantir les Forces de Défense, ces monstres mettent même les meilleurs com- mandants en difficulté ! Alors qu’il s’élance au secours du lieutenant Shinonome, Kafka se rappelle la promesse faite à Kikoru quelques jours auparavant...",978-2820350176,https://m.media-amazon.com/images/I/81vYVvSO4uL._SY522_.jpg,Crunchyroll; Illustrated édition (3 avril 2024),Naoya Matsumoto
Solo Leveling T08,14.95,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2413075424,https://m.media-amazon.com/images/I/71OrqG52CpL._SY522_.jpg,Kbooks; Illustrated édition (9 novembre 2022),DUBU(REDICE STUDIO)
Spy x Family - tome 2 (2) (Language French),7.2,"Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante ! Deux nations voisines partageant une haine réciproque, une paix fragile menacée par des hommes politiques ambitieux... Tel est le décor de SPYxFAMILY, avec, en premier rôle, Twilight, espion de Westalis missionné pour éviter la guerre qui se prépare en coulisses. Accompagné d'Anya, sa (fausse) fille adoptive, et de Yor, sa (fausse) épouse et vraie tueuse, Twilight alias Loid Forger doit approcher le chef du parti Nation Unifiée. Le plan consiste à faire admettre la petite Anya à la prestigieuse école Eden, où se retrouvent les enfants de l'élite d'Ostania, puis de la faire figurer parmi les meilleurs élèves de l'école. Un objectif qui relève de l'impossible, à moins de déployer des trésors de ruse et d'ingéniosité... Mais n'est-ce pas là, justement, le coeur du métier d'espion ?",978-2380710250,https://m.media-amazon.com/images/I/61nCFpJzvCL._SY522_.jpg,Kurokawa (12 novembre 2020),Tatsuya Endo
One Piece - Édition originale - Tome 12: Et ainsi débuta la légende,6.99,,978-2723492577,https://m.media-amazon.com/images/I/91ycPpX5yUL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Spy x Family - T3 (3),7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380711479,https://m.media-amazon.com/images/I/61PYpD0ltOL._SY522_.jpg,Kurokawa; Illustrated édition (11 février 2021),Tatsuya Endo
Solo Leveling T07,7.99,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382880913,https://m.media-amazon.com/images/I/81MMHsCpVtL._SY522_.jpg,Kbooks; Illustrated édition (21 septembre 2022),DUBU(REDICE STUDIO)
One Piece - Édition originale - Tome 11: Le plus grand bandit d'East Blue,6.99,,978-2723492560,https://m.media-amazon.com/images/I/91WdYRYSGJL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
"One piece, Volume 13",7.99,,978-2723492584,https://m.media-amazon.com/images/I/61G-QY5pCyL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 15: Droit devant !!,6.99,,978-2723492607,https://m.media-amazon.com/images/I/91FroDUnIXL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 14: Instinct,7.99,,978-2723492591,https://m.media-amazon.com/images/I/916pdmNqOBL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Spy x Family - T11,7.99,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380715378,https://m.media-amazon.com/images/I/618MOQX0v3L._SY522_.jpg,Kurokawa; Illustrated édition (12 octobre 2023),Tatsuya Endo
"Spy x Family - tome 1 (1), Language - French",7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380710243,https://m.media-amazon.com/images/I/61OQgI-aeAL._SY522_.jpg,Kurokawa; Illustrated édition (10 septembre 2020),Tatsuya Endo
Spy x Family - T5 (05),7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380711493,https://m.media-amazon.com/images/I/71nblClfu3S._SY522_.jpg,Kurokawa; Illustrated édition (19 août 2021),Tatsuya Endo
One Piece - Édition originale - Tome 20: Bataille décisive à Alubarna,6.99,,978-2723494762,https://m.media-amazon.com/images/I/91ndzbq+aQL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
"One piece, Volume 16",7.99,,978-2723494724,https://m.media-amazon.com/images/I/91wn7TT18uL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Spy x Family - T6 (6),7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380711509,https://m.media-amazon.com/images/I/61D5B5de6PS._SY522_.jpg,Kurokawa; Illustrated édition (10 novembre 2021),Tatsuya Endo
One Piece - Édition originale - Tome 18: Ace entre en scène,7.99,,978-2723494748,https://m.media-amazon.com/images/I/91FOfKpQ3DL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
"Spy x Family - tome 4 (4), French version",7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380711486,https://m.media-amazon.com/images/I/61SkauUrOIL._SY522_.jpg,Kurokawa; Illustrated édition (12 mai 2021),Tatsuya Endo
